Unnamed: 0,0,x,y,name,num,z,year,7,8,9,altitude,base,formation,top,_top_abs,md
44,2953159,282689,3961793,SUPERIOR_TENNECO_GAUTXX,XX,-4037,XX,24,0,0.5529999999999999,69.67516327,4203.38658927,,3437.47545627,3507.15061954,3437.47545627
52,2965091,295971,3926399,Wiedman55_26,55_26,-3584,XX,14,0,0.178,101.0876846,882.0954360999999,topo,0.0,101.0876846,0.0
52,2965091,295971,3926399,Wiedman55_26,55_26,-3584,XX,14,0,0.178,101.0876846,1956.8277966,etchegoin,882.0954360999999,983.1831207,882.0954360999999
52,2965091,295971,3926399,Wiedman55_26,55_26,-3584,XX,14,0,0.178,101.0876846,2125.1742326,macoma,1956.8277966,2057.9154812,1956.8277966
52,2965091,295971,3926399,Wiedman55_26,55_26,-3584,XX,14,0,0.178,101.0876846,2454.6123426,mclure,2124.9267956,2226.0144802,2124.9267956
52,2965091,295971,3926399,Wiedman55_26,55_26,-3584,XX,14,0,0.178,101.0876846,2125.1842326,chanac,2125.1742326,2226.2619172,2125.1742326
52,2965091,295971,3926399,Wiedman55_26,55_26,-3584,XX,14,0,0.178,101.0876846,2454.6655656,fruitvale,2454.6123426,2555.7000272,2454.6123426
52,2965091,295971,3926399,Wiedman55_26,55_26,-3584,XX,14,0,0.178,101.0876846,2938.0825576,round_mountain,2454.6655656,2555.7532502,2454.6655656
52,2965091,295971,3926399,Wiedman55_26,55_26,-3584,XX,14,0,0.178,101.0876846,3151.3872456,olcese,2938.0825576,3039.1702422000003,2938.0825576
52,2965091,295971,3926399,Wiedman55_26,55_26,-3584,XX,14,0,0.178,101.0876846,3227.9348526,freeman_jewett,3151.3872456,3252.4749302,3151.3872456
52,2965091,295971,3926399,Wiedman55_26,55_26,-3584,XX,14,0,0.178,101.0876846,3496.9072646,vedder,3227.9348526,3329.0225372,3227.9348526
52,2965091,295971,3926399,Wiedman55_26,55_26,-3584,XX,14,0,0.178,101.0876846,3829.5000386,cretaceous,3496.9072646,3597.9949492,3496.9072646
52,2965091,295971,3926399,Wiedman55_26,55_26,-3584,XX,14,0,0.178,101.0876846,3855.5491106,basement,3829.5000386,3930.5877232,3829.5000386
52,2965091,295971,3926399,Wiedman55_26,55_26,-3584,XX,14,0,0.178,101.0876846,4282.5671766000005,,3855.5491106,3956.6367952,3855.5491106
62,2972283,324034,3928722,S_&_D_Killingwoth_EPM1,1,-919,XX,14,0,0.3829999999999999,309.6473999,106.18405149999997,topo,0.0,309.6473999,0.0
62,2972283,324034,3928722,S_&_D_Killingwoth_EPM1,1,-919,XX,14,0,0.3829999999999999,309.6473999,196.1537552,santa_margarita,106.1752167,415.8226166,106.1752167
62,2972283,324034,3928722,S_&_D_Killingwoth_EPM1,1,-919,XX,14,0,0.3829999999999999,309.6473999,106.19405149999996,chanac,106.18405149999997,415.83145139999993,106.18405149999997
62,2972283,324034,3928722,S_&_D_Killingwoth_EPM1,1,-919,XX,14,0,0.3829999999999999,309.6473999,249.22369003,olcese,196.1537552,505.8011551,196.1537552
62,2972283,324034,3928722,S_&_D_Killingwoth_EPM1,1,-919,XX,14,0,0.3829999999999999,309.6473999,525.64505,freeman_jewett,249.22369003,558.8710899299999,249.22369003
62,2972283,324034,3928722,S_&_D_Killingwoth_EPM1,1,-919,XX,14,0,0.3829999999999999,309.6473999,819.0936584,vedder,525.64505,835.2924499,525.64505
62,2972283,324034,3928722,S_&_D_Killingwoth_EPM1,1,-919,XX,14,0,0.3829999999999999,309.6473999,997.4867554,cretaceous,819.0936584,1128.7410583,819.0936584
62,2972283,324034,3928722,S_&_D_Killingwoth_EPM1,1,-919,XX,14,0,0.3829999999999999,309.6473999,1580.9821169,basement,997.4867554,1307.1341553,997.4867554
62,2972283,324034,3928722,S_&_D_Killingwoth_EPM1,1,-919,XX,14,0,0.3829999999999999,309.6473999,1581.0018919,,1580.9821169,1890.6295168,1580.9821169
63,2979500,305057,3926665,Arkelian23_26,23_26,-2987,XX,14,0,0.2319999999999999,116.5421143,886.9906616999999,topo,0.0,116.5421143,0.0
63,2979500,305057,3926665,Arkelian23_26,23_26,-2987,XX,14,0,0.2319999999999999,116.5421143,1225.0706783,etchegoin,886.9906616999999,1003.532776,886.9906616999999
63,2979500,305057,3926665,Arkelian23_26,23_26,-2987,XX,14,0,0.2319999999999999,116.5421143,1357.7984623000002,macoma,1225.0706783,1341.6127926,1225.0706783
63,2979500,305057,3926665,Arkelian23_26,23_26,-2987,XX,14,0,0.2319999999999999,116.5421143,1507.9865723,chanac,1357.7984623000002,1474.3405766000003,1357.7984623000002
63,2979500,305057,3926665,Arkelian23_26,23_26,-2987,XX,14,0,0.2319999999999999,116.5421143,1837.4072263000005,santa_margarita,1507.9865723,1624.5286866,1507.9865723
63,2979500,305057,3926665,Arkelian23_26,23_26,-2987,XX,14,0,0.2319999999999999,116.5421143,1862.0070803,fruitvale,1837.4072263000005,1953.9493406000004,1837.4072263000005
63,2979500,305057,3926665,Arkelian23_26,23_26,-2987,XX,14,0,0.2319999999999999,116.5421143,1879.6970213,round_mountain,1862.0070803,1978.5491946,1862.0070803
63,2979500,305057,3926665,Arkelian23_26,23_26,-2987,XX,14,0,0.2319999999999999,116.5421143,2130.9353023,olcese,1879.6970213,1996.2391356000005,1879.6970213
63,2979500,305057,3926665,Arkelian23_26,23_26,-2987,XX,14,0,0.2319999999999999,116.5421143,2184.8004153,freeman_jewett,2130.9353023,2247.4774166,2130.9353023
63,2979500,305057,3926665,Arkelian23_26,23_26,-2987,XX,14,0,0.2319999999999999,116.5421143,2592.3238522999995,vedder,2184.8004153,2301.3425296,2184.8004153
63,2979500,305057,3926665,Arkelian23_26,23_26,-2987,XX,14,0,0.2319999999999999,116.5421143,3003.4259033,cretaceous,2592.3238522999995,2708.8659665999994,2592.3238522999995
63,2979500,305057,3926665,Arkelian23_26,23_26,-2987,XX,14,0,0.2319999999999999,116.5421143,3152.2796633,basement,3003.4259033,3119.9680176,3003.4259033
63,2979500,305057,3926665,Arkelian23_26,23_26,-2987,XX,14,0,0.2319999999999999,116.5421143,3298.1048583,,3152.2796633,3268.8217776,3152.2796633
