hole_id,easting,northing,elevation,total_depth_m,trajectory_hint
Arkelian23_26,305057.0,3926665.0,116.5421143,3298.1048583,vertical_from_contacts
Gow1,303406.0,3940068.0,149.31539919999997,2442.4384462,vertical_from_contacts
SUPERIOR_TENNECO_GAUTXX,282689.0,3961793.0,69.67516327,4203.38658927,vertical_from_contacts
S_&_D_Killingwoth_EPM1,324034.0,3928722.0,309.6473999,1581.0018919,vertical_from_contacts
Sharples_Marathon_BillingtonXX,275307.0,3947074.0,74.15509033,4594.95147733,vertical_from_contacts
Wiedman55_26,295971.0,3926399.0,101.0876846,4282.5671766000005,vertical_from_contacts
